country_txt,country_iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"50,624","50,609","50,593","50,578","50,563","50,548","50,532","50,517","50,502","50,487","50,472","50,456","50,441","50,426","50,411","50,395","50,38","50,365","50,35","50,335","50,319","50,304","49,998","49,588","49,177","48,767","48,356","47,946","47,536","47,127","46,717","46,339","45,972","45,606","45,24","44,875","44,511","44,147","43,783","43,421","43,059","42,698","42,364","42,058","41,779","41,528"
Andorra,AND,"80,155","81,78","83,301","84,716","86,032","87,252","88,382","89,42","90,378","91,257","92,064","92,8","93,474","94,089","94,649","95,159","95,325","95,178","95,027","94,872","94,712","94,53","94,324","94,111","93,89","93,661","93,425","93,18","92,927","92,666","92,395","92,056","91,641","91,207","90,751","90,295","89,838","89,363","88,867","88,352","87,817","87,26","86,708","86,165","85,633","85,115"
Afghanistan,AFG,"11,529","11,917","12,316","12,726","13,149","13,583","14,029","14,487","14,958","15,435","15,681","15,93","16,182","16,437","16,696","16,958","17,223","17,491","17,763","18,038","18,316","18,597","18,882","19,17","19,462","19,757","20,055","20,356","20,661","20,97","21,282","21,596","21,915","22,237","22,562","22,895","23,237","23,587","23,946","24,313","24,689","25,074","25,468","25,871","26,282","26,703"
Angola,AGO,"14,957","15,434","15,875","16,324","16,785","17,255","17,737","18,228","18,73","19,242","19,766","20,299","20,843","21,398","21,965","22,541","23,128","23,725","24,334","24,952","25,582","26,221","26,872","27,53","28,2","28,88","29,57","30,268","30,975","31,692","32,419","33,152","33,895","34,645","35,405","36,169","36,942","37,722","38,509","39,299","40,097","40,9","41,699","42,49","43,274","44,05"
Albania,ALB,"31,74","31,933","32,127","32,321","32,516","32,712","32,908","33,105","33,302","33,5","33,762","34,024","34,287","34,552","34,817","35,083","35,35","35,619","35,888","36,158","36,428","36,7","37,249","37,799","38,354","38,911","39,473","40,035","40,601","41,169","41,741","42,435","43,501","44,573","45,651","46,731","47,815","48,902","49,991","51,076","52,163","53,247","54,33","55,383","56,409","57,407"
Arab World,ARB,"38,7978546172","39,5020686297","40,229252198","40,9475788653","41,5946680571","42,2020685573","42,7754693487","43,3033043668","43,8196082051","44,3363161124","44,8810736074","45,4480931104","46,0218439525","46,6266335209","47,2702555427","47,8895948435","48,4988860942","49,0370717129","49,4922567362","49,8934182968","50,4365050347","50,8111117736","50,7910347186","51,1414083507","51,3888895208","51,8833722839","52,0607763216","52,2803165999","52,5362296563","52,8052855531","53,0771901224","53,3491577874","53,6242610159","53,9071221698","54,2071315753","54,5381244022","54,8919652865","55,2498548426","55,6083234543","55,9612298501","56,3008964908","56,627131326","56,9444376462","57,2503884966","57,542830227","57,8216849717"
United Arab Emirates,ARE,"79,8","79,8","79,8","79,8","79,8","79,8","79,903","80,106","80,309","80,51","80,71","80,683","80,466","80,247","80,026","79,804","79,624","79,482","79,339","79,196","79,051","78,906","78,76","78,614","78,467","78,319","78,493","78,938","79,378","79,81","80,236","80,655","81,067","81,472","81,871","82,262","82,648","83,019","83,377","83,723","84,055","84,375","84,684","84,981","85,266","85,541"
Argentina,ARG,"78,88","79,321","79,743","80,158","80,567","80,969","81,366","81,755","82,139","82,516","82,887","83,313","83,759","84,194","84,621","85,038","85,445","85,843","86,233","86,613","86,984","87,328","87,542","87,752","87,96","88,164","88,366","88,564","88,759","88,952","89,142","89,329","89,519","89,71","89,899","90,084","90,266","90,445","90,622","90,795","90,966","91,133","91,295","91,452","91,604","91,751"
Armenia,ARM,"59,864","60,657","61,445","62,225",63,"63,611","64,219","64,821","65,419","65,839","66,05","66,259","66,467","66,675","66,883","67,09","67,296","67,501","67,706","67,69","67,421","67,15","66,878","66,606","66,332","66,057","65,781","65,504","65,226","64,947","64,666","64,385","64,283","64,25","64,217","64,184","64,15","64,117","63,997","63,789","63,58","63,371","63,161","62,975","62,812","62,673"
American Samoa,ASM,"70,384","70,784","71,182","71,576","71,967","72,354","72,739","73,12","73,497","73,871","74,33","75,043","75,743","76,429","77,103","77,762","78,408","79,04","79,659","80,263","80,948","81,886","82,789","83,654","84,485","85,28","86,043","86,771","87,467","88,131","88,587","88,491","88,394","88,297","88,198","88,1",88,"87,9","87,799","87,697","87,594","87,5","87,413","87,334","87,264","87,202"
Antigua and Barbuda,ATG,"33,819","33,898","33,978","34,057","34,137","34,217","34,297","34,377","34,457","34,538","34,618","34,698","34,779","34,86","34,94","35,021","35,102","35,183","35,264","35,345","35,426","35,465","35,085","34,709","34,334","33,961","33,59","33,221","32,855","32,49","32,127","31,74","31,099","30,465","29,837","29,219","28,607","28,003","27,406","26,819","26,239","25,667","25,135","24,643","24,19","23,773"
Australia,AUS,"85,265","85,6","85,681","85,761","85,841","85,921",86,"85,94","85,881","85,821","85,76","85,7","85,64","85,58","85,52","85,46","85,4","85,4","85,4","85,4","85,4","85,4","85,566","85,748","85,928","86,106","86,283","86,504","86,727","86,947","87,165","87,378","87,541","87,695","87,849",88,"88,15","88,298","88,445","88,59","88,733","88,875","89,015","89,153","89,289","89,423"
Austria,AUT,"65,258","65,301","65,311","65,321","65,331","65,341","65,351","65,361","65,371","65,381","65,391","65,405","65,446","65,486","65,526","65,566","65,606","65,646","65,686","65,725","65,765","65,8","65,8","65,8","65,8","65,8","65,8","65,8","65,8","65,8","65,8","65,801","65,806","65,812","65,818","65,824","65,829","65,835","65,841","65,847","65,852","65,858","65,864","65,884","65,919","65,968"
Azerbaijan,AZE,"50,008","50,462","50,917","51,371","51,698","51,897","52,096","52,294","52,492","52,655","52,777","52,897","53,018","53,139","53,299","53,498","53,697","53,895","54,094","54,057","53,749","53,441","53,132","52,824","52,515","52,206","51,896","51,588","51,278","51,185","51,386","51,587","51,787","51,988","52,189","52,389","52,589","52,79","52,99","53,19","53,401","53,623","53,856","54,1","54,355","54,62"
Burundi,BDI,"2,845","2,97","3,101","3,236","3,377","3,525","3,678","3,838","4,005","4,178","4,339","4,503","4,674","4,85","5,033","5,221","5,417","5,62","5,83","6,047","6,271","6,455","6,637","6,823","7,014","7,211","7,412","7,618","7,83","8,036","8,246","8,461","8,682","8,908","9,139","9,375","9,617","9,864","10,118","10,376","10,641","10,912","11,189","11,472","11,761","12,057"
Belgium,BEL,"93,843","93,976","94,106","94,233","94,358","94,48","94,6","94,806","95,005","95,196","95,381","95,535","95,637","95,737","95,835","95,93","96,023","96,115","96,204","96,292","96,377","96,461","96,542","96,622","96,7","96,777","96,851","96,924","96,996","97,065","97,128","97,184","97,239","97,292","97,345","97,397","97,448","97,497","97,546","97,594","97,641","97,687","97,732","97,776","97,818","97,858"
Benin,BEN,"16,691","17,647","18,648","19,689","20,775","21,904","23,079","24,293","25,552","26,676","27,339","28,01","28,692","29,384","30,086","30,796","31,517","32,246","32,985","33,73","34,485","35,247","35,827","36,136","36,447","36,758","37,071","37,385","37,699","38,015","38,333","38,65","38,969","39,297","39,635","39,982","40,338","40,703","41,078","41,461","41,854","42,256","42,667","43,086","43,514","43,95"
Burkina Faso,BFA,"5,746","5,861","5,98","6,1","6,222","6,347","6,668","7,151","7,668","8,218","8,805","9,428","10,091","10,796","11,544","12,334","12,832","13,072","13,316","13,563","13,815","14,07","14,33","14,593","14,86","15,131","15,407","15,875","16,51","17,166","17,844","18,54","19,258","19,996","20,757","21,537","22,339","23,163","23,993","24,828","25,665","26,505","27,346","28,186","29,024","29,859"
Bangladesh,BGD,"7,593","7,901","8,221","8,553","9,034","9,836","10,701","11,63","12,629","13,701","14,851","15,801","16,212","16,631","17,06","17,496","17,941","18,395","18,859","19,33","19,811","20,257","20,61","20,966","21,328","21,693","22,064","22,438","22,818","23,202","23,59","24,096","24,756","25,429","26,114","26,809","27,517","28,237","28,968","29,709","30,462","31,225","31,99","32,753","33,516","34,277"
Bulgaria,BGR,"52,3","53,36","54,419","55,471","56,519","57,562","58,526","59,428","60,326","61,216","62,1","62,603","63,104","63,603","64,099","64,59","64,999","65,346","65,692","66,035","66,377","66,717","67,056","67,33","67,557","67,782","68,007","68,231","68,454","68,677","68,899","69,166","69,524","69,879","70,233","70,584","70,932","71,278","71,622","71,963","72,302","72,638","72,971","73,3","73,626","73,948"
Bahrain,BHR,"83,775","84,021","84,265","84,504","84,741","84,975","85,206","85,434","85,659","85,882","86,101","86,317","86,531","86,742","86,95","87,155","87,357","87,557","87,754","87,949","88,14","88,329","88,398","88,395","88,392","88,388","88,385","88,382","88,379","88,376","88,372","88,369","88,37","88,376","88,386","88,4","88,419","88,441","88,468","88,5","88,535","88,575","88,619","88,667","88,719","88,775"
"Bahamas, The",BHS,"66,764","67,429","68,088","68,738","69,381","70,017","70,647","71,266","71,879","72,484","73,102","73,843","74,571","75,285","75,987","76,674","77,347","78,007","78,654","79,284","79,838","80,067","80,293","80,518","80,74","80,961","81,18","81,396","81,611","81,824","82,009","82,064","82,118","82,172","82,226","82,28","82,334","82,388","82,442","82,495","82,549","82,606","82,667","82,732","82,801","82,874"
Bosnia and Herzegovina,BIH,"27,201","28,094","28,875","29,666","30,471","31,288","32,118","32,957","33,808","34,67","35,543","36,282","36,607","36,933","37,261","37,589","37,919","38,25","38,583","38,915","39,249","39,495","39,474","39,453","39,432","39,411","39,39","39,369","39,348","39,327","39,306","39,285","39,264","39,244","39,223","39,202","39,181","39,16","39,161","39,183","39,226","39,291","39,378","39,486","39,616","39,767"
Belarus,BLR,"44,01","45,349","46,697","48,046","49,4","50,614","51,829","53,039","54,247","55,402","56,498","57,584","58,664","59,736","60,8","61,833","62,857","63,87","64,872","65,585","65,981","66,374","66,766","67,155","67,541","67,926","68,308","68,687","69,064","69,482","69,973","70,458","70,939","71,415","71,887","72,354","72,816","73,273","73,726","74,172","74,615","75,046","75,467","75,877","76,277","76,667"
Belize,BLZ,"50,963","50,805","50,646","50,488","50,329","50,171","50,012","49,854","49,695","49,537","49,374","49,183","48,992","48,801","48,61","48,419","48,228","48,037","47,846","47,655","47,465","47,306","47,351","47,395","47,439","47,484","47,528","47,573","47,617","47,662","47,663","47,392","47,122","46,851","46,58","46,311","46,041","45,771","45,501","45,232","44,963","44,718","44,496","44,298","44,124","43,973"
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,"39,776","40,082","40,389","40,696","41,004","41,314","41,624","42,446","43,442","44,443","45,451","46,459","47,472","48,486","49,504","50,519","51,535","52,549","53,563","54,571","55,577","56,579","57,548","58,167","58,785","59,4","59,891","60,38","60,866","61,351","61,834","62,313","62,791","63,264","63,732","64,194","64,652","65,104","65,55","65,991","66,426","66,855","67,279","67,696","68,107","68,512"
Brazil,BRA,"55,909","56,894","57,879","58,855","59,826","60,789","61,745","62,689","63,625","64,551","65,468","66,37","67,262","68,142","69,01","69,862","70,703","71,529","72,342","73,139","73,922","74,69","75,444","76,181","76,903","77,61","78,302","79,048","79,781","80,496","81,192","81,553","81,88","82,203","82,521","82,834","83,143","83,448","83,749","84,044","84,335","84,623","84,901","85,171","85,433","85,687"
Barbados,BRB,"37,539","37,755","37,971","38,186","38,403","38,62","38,838","39,056","39,274","39,493","39,582","38,851","38,124","37,402","36,685","35,975","35,271","34,572","33,88","33,196","32,65","32,772","32,894","33,016","33,139","33,262","33,386","33,509","33,633","33,756","33,83","33,651","33,472","33,294","33,116","32,939","32,762","32,586","32,41","32,235","32,06","31,905","31,769","31,652","31,554","31,475"
Brunei Darussalam,BRN,"61,675","63,412","63,234","62,823","62,409","61,994","61,576","61,157","60,737","60,314","59,89","59,465","60,034","60,778","61,519","62,252","62,98","63,703","64,421","65,13","65,833","66,53","67,078","67,604","68,126","68,644","69,158","69,666","70,17","70,669","71,164","71,652","72,136","72,606","73,061","73,503","73,931","74,345","74,746","75,134","75,51","75,872","76,223","76,561","76,887","77,202"
Bhutan,BTN,"6,089","6,413","6,754","7,11","7,484","7,876","8,288","8,717","9,168","9,639","10,132","10,646","11,184","11,745","12,332","12,941","13,577","14,24","14,929","15,645","16,388","17,161","17,962","18,791","19,649","20,537","21,456","22,401","23,377","24,383","25,418","26,48","27,57","28,688","29,835","30,965","31,712","32,469","33,236","34,01","34,793","35,585","36,368","37,139","37,898","38,644"
Botswana,BWA,"7,834","8,998","9,695","10,381","11,11","11,884","12,705","13,572","14,489","15,457","16,479","17,552","19,489","21,723","24,139","26,724","29,483","32,401","35,467","38,648","41,933","45,292","46,443","47,286","48,133","48,981","49,83","50,677","51,525","52,372","53,219","54,062","54,374","54,607","54,841","55,073","55,306","55,539","55,772","56,004","56,235","56,467","56,699","56,938","57,187","57,444"
